SOURCE	TARGET
34	2
59	4
67	20
67	62
73	65
82	30
93	27
99	79
105	20
108	37
111	77
113	4
143	54
145	140
151	144
155	129
156	20
156	45
166	143
169	18
169	79
169	90
171	52
171	121
171	133
179	128
180	120
184	156
186	41
187	60
187	165
188	96
190	2
190	67
193	179
195	80
196	129
199	109
202	64
202	123
202	192
207	184
212	10
216	181
218	215
220	40
221	44
224	7
225	52
230	14
230	32
231	222
233	84
234	230
235	90
237	36
238	7
239	27
241	234
242	164
243	196
244	122
246	24
249	196
251	25
251	173
251	213
252	9
252	167
252	184
253	140
254	107
254	158
256	107
257	115
258	173
265	47
269	252
270	150
272	19
272	197
273	173
278	118
278	171
279	272
281	221
282	217
283	172
287	286
289	165
290	244
291	147
295	215
296	111
296	254
299	4
300	57
301	286
302	45
304	64
305	105
306	193
307	119
307	224
308	302
310	8
310	20
311	175
311	235
312	298
315	76
315	205
325	6
325	150
325	201
327	88
329	299
333	119
335	66
338	88
338	98
338	205
339	40
339	316
341	230
343	229
346	157
347	195
347	255
348	92
352	132
352	181
357	209
358	124
358	289
364	205
365	317
366	318
367	41
367	328
367	363
369	36
370	79
371	182
371	248
372	156
373	118
373	203
373	214
373	362
374	40
374	297
375	203
375	333
377	146
377	327
379	21
382	92
383	37
384	126
384	220
386	88
386	165
386	173
389	207
392	303
393	29
393	92
393	291
394	321
397	99
397	204
398	343
401	240
404	261
405	291
407	189
410	88
411	274
411	352
412	42
413	396
415	39
416	65
416	196
417	181
420	65
420	200
420	388
421	358
422	257
422	289
425	197
425	263
428	176
430	21
430	252
431	342
432	301
433	288
434	231
442	74
443	238
443	373
443	385
444	27
445	107
445	297
446	443
447	146
447	238
447	306
448	91
448	189
448	202
449	71
449	354
450	3
452	366
453	180
454	435
455	365
456	239
458	163
459	57
459	176
461	41
461	400
462	123
463	97
464	3
465	400
466	259
466	291
466	352
467	82
468	454
469	84
469	98
473	219
473	459
474	234
474	305
476	278
477	242
477	418
478	149
482	102
485	94
487	73
487	103
487	343
488	279
489	70
491	115
491	354
492	182
492	470
496	254
501	201
503	127
503	261
504	62
506	250
511	168
511	505
512	28
512	103
512	261
513	327
513	431
514	22
515	478
516	308
517	14
517	300
518	9
518	156
519	33
519	483
521	312
521	470
523	8
524	302
524	453
526	304
526	429
526	473
527	207
528	382
528	513
530	359
531	218
531	457
532	84
532	214
534	401
535	365
536	25
536	343
536	514
537	188
541	367
542	7
542	413
543	107
543	270
544	14
547	70
547	125
547	371
548	399
548	444
548	451
548	475
549	74
549	137
549	380
551	218
551	264
551	339
551	384
552	336
552	528
552	530
554	347
554	478
556	499
557	60
557	117
557	119
557	453
557	467
559	271
560	123
560	455
561	67
562	436
562	476
562	490
563	24
563	305
564	12
565	227
565	305
566	9
566	245
567	92
568	237
568	356
568	567
569	149
569	168
569	190
569	331
570	268
570	340
575	175
575	223
575	389
575	529
576	477
577	5
578	215
578	359
578	561
579	401
580	44
580	341
580	446
581	38
582	12
582	362
584	389
585	530
587	174
587	357
588	484
591	2
591	483
591	546
592	154
593	128
593	457
594	391
596	146
597	62
598	266
598	360
600	53
600	293
601	371
601	568
604	12
605	546
606	6
606	547
608	268
608	345
616	307
617	23
619	263
621	77
622	451
625	606
626	418
627	369
628	158
628	552
629	183
629	186
631	566
631	627
634	350
635	316
636	57
636	512
637	507
638	125
638	182
638	337
639	59
639	338
639	354
639	508
640	565
641	325
641	411
641	555
643	247
644	133
644	142
644	318
646	400
647	571
648	122
648	206
648	537
649	488
652	561
652	621
654	301
655	98
656	16
656	629
656	638
657	7
657	80
657	87
658	150
659	462
660	148
661	435
662	390
663	150
663	302
663	455
663	507
663	646
664	135
667	88
667	375
668	303
671	419
671	590
672	41
672	147
672	635
673	170
673	418
674	156
674	368
674	654
676	309
677	303
678	646
680	450
680	538
681	55
681	474
682	363
682	496
682	657
683	222
683	311
684	420
684	553
685	402
687	127
687	269
688	17
689	186
690	418
691	539
691	549
692	350
692	643
693	439
693	539
693	647
694	676
695	160
696	678
698	69
698	460
699	338
700	541
700	629
701	256
702	223
702	345
704	111
704	361
704	559
705	359
706	273
707	317
707	384
708	56
708	265
708	506
709	303
710	184
710	356
712	528
712	700
713	134
713	174
713	205
713	610
714	250
714	454
715	201
715	244
715	327
717	472
717	480
717	668
718	142
718	159
718	453
719	53
720	46
720	469
720	699
721	187
721	258
721	580
722	49
722	582
722	602
723	709
724	169
724	243
725	611
726	244
727	58
727	324
727	710
728	291
729	34
730	264
730	366
731	574
731	589
731	645
732	61
732	88
732	311
733	516
733	534
733	714
734	84
735	616
736	98
736	548
737	97
737	552
739	423
740	422
741	505
742	258
742	640
742	741
743	503
745	415
746	434
747	261
748	11
749	169
749	564
750	124
750	184
751	129
751	463
751	631
752	176
752	706
753	303
753	668
753	718
755	126
755	349
757	56
757	205
757	238
757	510
757	590
759	71
759	363
759	610
761	730
762	293
762	571
764	599
766	568
767	445
768	476
769	64
769	71
770	125
770	475
771	105
772	163
774	169
774	590
775	92
775	455
775	632
775	699
775	747
775	749
776	132
776	290
776	316
777	84
777	340
779	698
781	272
781	293
783	283
784	185
784	359
784	599
786	194
787	497
788	142
788	362
788	483
