SOURCE	TARGET
63	51
67	46
72	35
72	39
87	77
89	0
91	79
93	27
99	10
100	1
104	55
110	49
110	86
111	101
114	0
125	39
127	1
127	118
128	17
135	24
138	12
138	115
141	6
149	103
151	63
151	82
152	31
160	73
163	15
164	46
165	163
168	1
173	158
174	4
174	24
177	5
184	110
185	76
187	36
188	23
188	57
188	61
190	15
195	117
197	60
198	23
201	138
203	100
204	43
205	126
207	203
210	113
215	82
218	211
222	221
223	166
228	133
228	168
231	113
234	109
235	59
241	8
241	17
248	117
248	187
249	151
251	189
265	1
265	21
267	71
269	33
271	99
272	245
274	129
275	58
276	22
278	22
281	52
281	146
281	216
283	141
283	206
284	250
285	138
285	165
286	23
287	215
289	156
291	65
292	238
293	110
293	195
294	253
298	184
300	112
300	237
303	145
304	10
304	274
307	206
307	260
308	19
310	168
311	137
311	170
312	75
314	51
315	148
319	267
320	133
320	160
323	201
331	102
331	277
336	55
340	262
342	175
343	316
349	92
352	280
354	167
359	15
363	309
365	23
365	42
367	98
370	16
370	83
372	325
373	208
373	290
374	302
374	359
375	74
375	267
377	157
377	203
377	321
380	168
380	284
381	48
384	273
385	95
385	121
386	247
387	47
387	300
388	51
390	112
393	262
393	349
394	384
395	364
396	108
397	176
398	285
401	288
401	352
405	223
407	44
408	372
410	262
410	283
411	391
412	105
415	117
416	164
416	183
418	26
420	371
422	84
422	304
422	344
423	71
423	124
425	193
426	425
428	208
430	400
432	75
438	355
439	103
440	140
441	115
441	180
444	312
444	314
445	291
445	328
446	408
449	173
449	408
450	391
451	294
453	49
453	437
455	23
455	110
455	127
456	224
456	274
457	149
460	384
460	433
461	57
462	123
462	437
463	20
464	77
466	110
466	189
466	449
467	189
467	235
468	188
468	343
469	342
471	404
472	465
473	344
473	449
474	207
477	296
480	257
480	268
480	460
486	436
488	136
488	318
489	410
492	378
494	293
494	383
495	216
495	227
496	42
496	215
496	465
497	114
498	273
499	182
500	68
500	357
500	434
505	16
505	360
506	13
507	168
507	409
509	303
512	511
513	467
514	207
515	317
515	463
515	466
515	513
520	364
522	338
522	492
523	21
525	75
529	111
529	430
530	508
533	80
533	100
537	298
538	68
538	203
538	288
538	405
539	127
541	113
542	102
545	447
546	325
546	411
547	106
547	201
548	226
549	91
551	371
551	544
552	45
552	399
554	95
556	544
557	13
558	165
558	372
559	550
561	133
562	121
563	104
563	116
567	80
568	13
568	43
568	270
569	94
569	240
569	497
570	78
573	337
576	134
576	387
577	30
577	92
578	155
578	214
578	353
579	282
579	347
580	295
580	436
582	230
583	68
584	19
585	251
585	348
589	35
591	532
593	531
593	558
595	326
595	364
595	472
596	577
600	198
601	138
602	231
602	394
604	86
605	59
606	206
609	419
609	566
613	173
614	249
615	224
615	500
616	416
616	545
618	99
618	417
618	518
618	519
620	334
620	560
623	547
624	72
624	262
624	524
625	434
625	443
626	453
628	311
630	322
631	510
632	344
632	413
632	513
633	1
635	558
636	127
637	266
637	364
637	388
637	543
638	418
639	517
639	615
