SOURCE	TARGET
23	18
60	30
67	63
84	70
86	82
88	9
102	49
111	25
116	101
118	59
118	76
131	17
134	89
136	89
139	66
147	102
150	6
150	58
152	86
153	78
159	3
159	128
163	62
164	80
168	112
171	55
172	170
174	57
177	17
184	164
185	115
185	121
187	56
187	131
191	168
194	134
198	140
200	39
203	145
209	14
210	179
213	173
213	194
214	129
221	117
221	151
223	49
223	61
225	224
229	182
231	69
232	178
233	65
234	141
235	62
236	102
237	22
238	109
239	11
240	15
240	64
240	146
242	163
245	121
247	37
252	205
256	208
258	11
259	142
261	246
262	250
263	193
266	79
267	197
269	211
271	168
271	200
272	243
272	257
274	202
275	252
277	185
281	76
283	163
287	254
289	136
289	227
289	263
289	287
293	76
293	276
295	118
295	203
306	84
307	58
307	195
307	201
309	21
309	99
315	196
318	74
319	129
319	158
320	53
321	226
322	206
323	190
323	295
324	313
325	251
329	214
331	290
332	103
332	307
333	136
340	19
342	103
345	307
346	249
347	98
349	117
358	83
358	91
359	278
359	332
360	202
363	123
363	213
363	319
364	10
369	12
371	25
371	61
372	362
375	8
375	69
376	137
377	125
377	131
379	276
379	325
380	325
382	333
386	2
387	208
387	224
391	297
394	15
395	118
395	230
397	71
397	182
398	1
398	154
399	137
400	302
403	69
403	346
405	75
408	163
411	166
413	150
414	61
414	191
417	214
418	215
420	46
421	160
422	48
423	226
423	313
423	416
424	248
425	286
427	152
428	412
429	332
429	385
431	371
434	145
434	426
435	257
436	205
436	435
438	255
441	65
442	253
443	148
444	175
444	259
445	367
447	342
448	392
448	434
449	31
449	362
450	119
453	51
454	78
454	162
454	271
455	47
457	4
457	292
458	284
461	73
464	314
465	159
465	413
471	103
476	53
476	260
477	239
478	75
480	362
480	408
482	10
482	166
484	216
484	435
484	465
486	117
486	310
487	179
487	187
487	449
488	182
489	207
489	245
489	426
490	72
490	116
490	272
496	1
496	312
497	349
497	426
497	435
498	330
499	408
500	162
501	33
501	165
502	288
503	297
503	307
503	360
504	215
505	156
506	207
507	118
509	144
509	327
509	467
510	270
511	423
512	299
513	37
513	181
513	275
514	172
514	229
515	506
518	188
519	72
520	482
520	508
521	481
523	160
523	377
524	464
526	199
527	193
529	13
529	251
529	503
531	73
533	353
534	436
535	221
537	74
539	15
539	119
540	525
541	113
541	228
543	515
544	82
544	255
545	166
546	372
546	467
547	335
548	243
548	353
549	235
549	280
549	336
550	469
553	550
554	158
555	244
555	432
556	478
558	64
558	402
561	38
561	171
561	552
562	1
564	13
564	310
564	562
565	265
566	113
566	455
566	506
568	39
568	226
568	550
569	535
572	515
574	290
574	439
575	419
576	463
576	512
576	548
577	343
577	526
579	386
579	497
582	145
582	324
584	564
586	390
588	133
588	191
588	209
590	452
591	451
592	353
593	402
593	539
594	111
594	172
595	502
596	69
596	260
598	113
600	207
601	57
601	95
602	45
604	20
604	81
605	590
606	45
606	181
607	66
607	250
608	145
609	411
609	467
609	598
610	247
612	565
613	334
613	445
615	461
615	580
616	222
616	536
617	280
620	127
620	409
622	304
623	559
624	80
624	251
624	450
625	381
625	517
626	382
628	549
629	25
630	201
631	19
631	98
631	213
631	319
631	381
631	448
633	133
633	556
634	39
634	439
636	545
637	278
637	384
638	533
639	150
639	615
640	168
640	439
640	568
642	160
642	448
643	193
644	139
644	608
646	154
646	455
647	19
649	194
650	60
650	337
651	41
651	56
651	208
651	219
652	201
652	239
652	320
653	526
653	530
654	634
656	172
656	339
656	544
657	575
658	331
659	326
659	487
660	77
660	428
661	46
662	68
662	124
662	134
662	241
664	11
664	151
664	244
665	172
665	351
665	399
667	287
668	77
668	127
669	659
670	558
671	298
671	350
672	271
672	278
673	212
673	434
675	395
677	264
679	102
679	245
679	404
679	508
679	577
682	598
682	679
685	236
685	476
686	582
687	446
687	470
689	558
690	136
690	223
691	541
692	614
693	427
694	690
695	147
695	617
695	649
696	318
696	359
696	482
696	533
696	624
696	626
698	205
699	86
699	240
700	567
700	667
700	693
702	425
702	669
703	681
707	126
708	366
708	374
709	19
709	274
709	346
709	454
709	514
709	696
712	241
712	366
713	54
713	312
713	695
714	55
714	280
714	506
715	74
715	404
716	194
716	264
716	550
716	602
716	704
717	17
718	519
720	558
722	17
722	251
722	586
724	134
725	65
727	168
729	245
729	491
730	337
732	119
732	662
733	49
733	230
733	307
733	589
734	216
735	137
735	547
739	388
739	447
739	724
740	475
740	690
741	480
742	569
743	408
743	644
745	247
745	296
745	326
745	654
747	461
748	30
748	136
750	405
750	475
751	80
751	349
751	459
752	69
752	433
752	535
753	392
754	277
754	445
754	608
755	95
756	577
757	514
757	571
759	323
759	370
759	459
760	520
762	164
763	4
763	613
764	65
764	155
764	581
766	205
766	441
766	518
766	624
767	181
767	345
767	458
767	490
767	724
768	389
769	272
770	429
771	12
772	70
772	360
773	105
773	421
773	730
774	138
774	717
775	560
776	96
776	691
777	397
778	162
778	177
780	115
780	405
780	674
781	57
781	592
782	696
783	432
783	570
784	207
784	646
785	83
785	404
786	288
786	779
787	23
787	218
787	410
788	399
788	557
789	503
789	614
790	19
791	102
792	754
793	171
794	154
794	194
794	365
794	619
796	39
797	0
797	334
798	393
799	82
799	260
799	748
800	593
802	684
802	789
803	101
803	264
804	725
804	729
805	8
805	185
805	242
805	672
806	50
806	53
807	446
807	482
807	721
809	15
809	328
810	418
810	800
812	74
814	97
814	176
814	788
816	491
816	803
817	150
817	335
818	574
818	770
818	788
819	304
819	578
820	366
823	22
824	67
824	370
824	683
824	815
826	348
827	189
827	453
828	145
828	697
830	304
831	33
831	411
831	478
831	661
832	11
832	396
832	441
832	513
