SOURCE	TARGET
11	10
24	2
24	14
35	29
44	6
49	4
62	50
69	42
84	82
87	2
110	69
112	80
114	67
129	58
134	109
144	20
150	68
150	91
154	152
165	54
170	126
173	60
176	68
179	40
179	122
180	89
181	7
185	80
191	113
192	30
197	180
203	93
204	3
206	163
207	90
207	146
214	88
216	99
218	188
219	190
222	162
228	180
229	27
229	82
229	180
229	196
231	68
232	51
235	231
236	185
239	88
240	164
247	19
247	60
249	71
254	84
257	215
264	31
264	256
267	5
268	31
274	162
275	152
275	197
284	253
286	188
291	254
294	10
296	84
296	194
296	204
297	179
298	146
302	174
303	250
304	246
310	71
315	94
315	161
316	21
322	232
323	47
324	105
324	226
325	131
325	309
328	221
330	265
331	165
336	11
337	271
338	116
338	264
342	292
343	64
345	226
352	107
352	209
355	46
356	277
358	110
358	290
363	3
366	38
367	57
367	322
368	69
368	170
371	204
372	173
378	58
378	140
381	188
383	130
388	27
388	212
389	100
389	102
389	167
390	50
393	208
394	25
394	106
395	229
396	166
397	205
399	210
399	258
400	86
401	94
401	370
402	379
403	8
403	339
404	70
405	354
405	366
406	371
407	34
408	178
411	270
412	360
413	197
415	330
416	148
417	328
418	84
418	152
420	306
420	396
428	103
428	108
429	123
431	292
433	112
433	120
434	88
435	409
437	62
437	288
438	136
438	302
439	285
440	248
440	303
441	271
442	59
443	177
443	245
443	321
444	83
444	153
445	121
446	2
446	327
446	372
447	349
450	178
450	208
450	301
451	414
453	228
454	100
454	411
455	336
455	393
456	375
459	211
459	365
460	75
463	107
471	6
471	65
473	63
474	344
475	205
476	392
479	92
479	186
480	412
480	443
481	21
481	45
486	260
487	387
489	301
490	146
490	400
491	186
492	102
494	193
495	92
495	343
496	263
501	403
501	405
503	288
504	363
505	320
506	6
506	59
507	451
508	237
510	298
511	46
511	465
513	510
515	269
517	346
518	23
520	275
521	209
524	121
526	29
526	165
526	282
526	465
527	143
528	272
529	10
529	299
529	399
529	507
530	283
530	424
531	3
531	20
532	19
532	383
534	8
534	209
534	393
535	52
536	279
537	359
537	423
539	180
539	230
540	67
540	100
540	400
541	440
542	5
542	393
545	398
545	450
547	373
549	188
551	436
552	210
553	167
553	363
554	284
555	384
556	172
556	360
558	125
559	517
562	95
562	218
563	434
563	439
563	487
565	64
565	126
565	462
567	432
568	409
569	157
569	411
570	380
572	369
572	508
573	315
574	113
576	398
576	567
577	47
577	64
577	148
577	461
578	297
579	14
579	15
579	42
579	423
581	516
581	557
581	560
583	186
584	14
584	136
584	420
585	138
586	99
586	310
590	103
590	215
590	570
592	280
595	345
595	579
596	40
602	362
602	546
604	222
604	315
604	360
605	64
606	205
607	8
607	312
608	542
609	452
609	526
610	155
612	270
612	518
613	159
614	154
614	408
616	242
617	173
618	175
622	329
623	27
623	30
624	136
625	425
626	139
626	361
626	609
627	212
628	377
629	131
630	69
631	451
631	507
632	107
633	34
633	582
634	19
634	136
635	4
635	223
635	339
636	61
636	64
636	116
636	532
637	125
638	159
638	235
638	412
640	15
640	117
645	480
646	411
646	626
648	239
648	410
649	90
649	498
651	249
651	255
651	260
651	516
652	94
653	443
654	48
654	218
654	438
655	20
656	287
656	436
657	19
657	106
657	315
657	423
658	170
660	590
661	92
661	441
662	143
664	503
665	358
666	214
666	479
667	529
667	646
667	659
668	627
670	72
671	663
672	98
672	434
673	575
674	220
674	360
674	510
675	123
676	297
680	428
680	649
682	200
685	21
685	410
687	292
688	406
688	419
688	671
689	2
689	121
689	218
689	306
690	40
691	10
691	410
693	97
693	627
694	72
694	612
695	54
695	446
696	34
696	303
696	328
697	440
698	28
698	161
701	491
701	524
702	21
704	221
704	336
708	569
709	203
710	145
710	203
712	177
712	482
712	524
712	683
713	5
715	280
715	289
715	466
716	54
717	471
718	391
719	159
720	295
720	307
721	188
721	708
723	423
725	356
725	362
725	477
728	525
729	564
730	203
730	204
731	378
731	540
731	687
733	118
735	264
735	537
737	328
738	568
739	20
739	385
739	734
741	222
742	410
742	672
743	678
744	267
745	155
745	653
746	152
746	532
746	591
746	625
747	165
747	710
747	721
748	154
748	174
748	436
748	547
748	575
749	66
749	216
749	484
749	560
750	193
751	22
751	84
751	504
754	89
754	198
754	294
754	315
754	431
756	606
757	19
757	729
758	441
758	576
759	60
761	270
761	273
761	666
763	116
763	218
763	310
763	390
763	505
763	582
764	128
765	399
767	333
767	451
769	365
771	52
772	11
772	167
772	229
773	96
773	106
773	147
774	408
775	407
775	689
775	690
776	34
776	417
777	357
778	61
778	651
779	228
779	470
780	328
780	685
781	533
782	183
783	183
783	378
784	100
784	562
784	740
785	520
785	642
789	615
790	704
790	723
791	531
793	0
793	8
793	134
793	246
793	740
793	743
794	512
795	129
796	177
796	241
796	344
796	451
796	563
797	167
797	513
797	620
797	688
799	33
799	157
799	331
799	698
799	721
800	316
801	664
803	577
804	512
804	596
805	564
805	747
807	443
808	543
