SOURCE	TARGET
22	21
37	28
43	27
46	22
51	9
73	41
78	42
85	18
85	78
106	81
112	82
114	11
114	48
116	18
118	61
119	87
124	80
124	95
131	20
135	120
139	27
142	4
142	70
147	12
149	145
156	99
157	141
162	159
163	3
166	59
167	68
177	85
182	53
183	116
185	138
191	162
195	56
199	51
205	32
205	125
206	199
210	72
212	166
212	200
213	141
214	196
216	186
218	101
218	142
226	131
226	222
228	74
229	129
236	47
238	44
238	55
238	176
240	153
245	30
252	112
253	203
254	144
260	202
261	8
263	37
265	24
271	136
271	240
272	161
272	174
278	38
279	1
279	225
279	256
281	17
281	154
281	262
282	157
282	264
283	10
283	33
283	111
283	202
283	233
284	101
286	102
286	117
286	278
297	127
301	162
303	172
305	169
306	181
307	249
307	281
312	140
315	145
322	175
323	48
323	83
323	318
324	31
325	96
330	78
330	168
330	326
332	12
333	120
333	153
334	271
334	289
336	79
336	199
337	227
338	153
339	119
339	323
343	104
344	100
345	118
346	160
346	202
347	286
348	166
350	30
351	291
352	218
353	16
353	205
357	222
357	243
360	272
363	95
366	287
366	343
367	66
367	235
372	64
372	240
372	252
374	207
375	303
376	255
376	268
378	90
380	27
383	142
384	272
385	25
385	121
385	302
388	136
388	332
390	86
391	25
391	333
393	48
393	187
394	204
394	282
395	313
396	248
396	256
397	46
397	376
398	60
398	381
400	142
401	200
401	318
403	85
403	144
403	243
404	57
406	334
408	234
409	313
412	291
414	209
415	399
417	260
417	412
418	26
419	336
420	174
423	143
424	279
425	17
426	89
427	202
428	188
429	93
429	259
430	73
434	361
435	20
435	378
436	155
436	301
437	176
438	286
441	183
442	431
444	443
446	58
447	184
449	34
449	272
455	186
457	328
459	353
461	279
461	365
462	143
462	276
464	310
464	392
473	52
473	159
474	186
475	245
476	168
477	29
478	96
478	407
480	164
481	90
484	104
485	157
490	152
490	267
491	96
491	451
492	43
493	103
493	270
494	427
495	176
495	433
495	490
496	22
498	271
499	175
499	341
499	342
499	346
500	328
502	433
503	399
505	119
508	386
510	117
512	364
514	196
515	402
517	141
517	167
518	78
518	79
518	189
520	245
521	271
523	73
523	406
523	475
526	337
528	413
530	5
530	392
530	499
531	167
531	342
533	461
533	497
537	284
537	415
538	187
538	246
540	527
542	258
544	216
545	537
546	466
546	544
547	189
547	483
548	268
549	90
549	533
550	170
551	409
552	83
552	121
552	199
552	529
554	219
556	16
556	358
557	242
559	117
562	5
562	365
563	559
564	554
567	458
569	77
569	110
570	34
570	128
570	241
571	220
572	449
573	344
573	529
574	271
575	34
576	78
576	156
577	218
579	478
580	436
580	532
581	169
583	152
584	288
584	509
584	542
586	236
586	342
586	379
586	540
587	126
589	90
590	15
591	124
591	384
592	4
592	74
592	113
592	511
593	182
593	389
593	580
594	525
595	493
598	216
598	395
600	45
600	159
600	340
600	555
600	593
601	203
601	410
602	324
603	532
604	270
604	311
605	158
605	580
606	46
608	56
609	138
609	341
609	424
610	105
612	166
615	62
615	388
615	412
615	469
617	263
618	209
618	219
618	261
619	108
619	165
620	204
620	277
620	306
621	35
621	355
622	86
622	511
623	73
624	201
624	307
624	398
624	426
625	68
625	108
625	286
625	406
625	580
627	350
627	363
627	437
627	493
628	328
628	338
628	568
629	470
630	162
633	30
634	22
634	133
634	306
634	427
635	169
636	25
637	6
637	27
637	203
638	113
638	445
639	576
642	12
643	375
644	159
648	204
648	299
651	166
651	545
651	646
652	96
652	397
652	449
655	97
656	284
656	360
656	494
656	541
656	557
657	7
657	211
658	218
659	131
659	601
660	480
661	39
662	372
663	98
663	183
665	410
668	541
668	563
668	659
669	222
670	223
672	73
673	119
673	511
674	418
674	580
675	381
675	456
676	340
677	76
677	565
678	126
678	136
678	152
678	221
678	315
679	140
679	322
680	161
680	187
680	271
681	380
683	145
683	589
688	69
688	391
688	524
689	517
691	43
691	276
691	408
691	637
692	113
692	458
693	7
693	206
695	334
696	543
697	200
698	20
698	251
698	278
698	661
698	674
699	197
699	254
700	239
700	600
704	420
705	80
705	537
707	467
709	213
710	59
710	118
710	458
710	572
710	646
712	30
712	465
713	221
714	390
715	334
717	447
717	518
718	350
718	659
719	139
719	677
721	156
721	412
721	631
722	125
723	522
726	512
727	395
728	411
729	492
731	28
731	247
731	586
733	320
733	451
733	723
734	668
734	707
735	549
736	451
736	644
737	196
737	233
737	289
737	356
737	385
737	483
738	163
738	316
738	360
738	514
740	374
741	295
742	36
742	312
742	680
744	114
745	77
745	191
745	559
745	638
747	332
749	678
750	113
750	475
751	44
751	426
751	678
752	409
753	64
756	204
756	395
757	69
757	106
757	413
757	448
757	738
758	37
759	67
759	239
759	395
759	444
760	22
760	144
760	173
760	271
760	347
761	273
761	611
761	683
763	532
764	135
764	248
764	409
764	548
765	85
765	243
766	104
766	410
767	98
767	199
769	166
769	308
769	322
769	608
770	448
771	560
772	533
773	96
774	51
774	510
775	647
778	424
782	68
783	237
783	351
784	623
785	333
786	294
786	387
789	104
789	294
791	50
791	371
791	568
791	573
791	663
792	96
792	346
792	468
795	139
795	591
796	386
796	599
796	670
797	180
798	55
798	422
799	343
799	589
799	652
799	772
800	70
800	255
801	124
801	557
802	291
802	699
803	256
804	210
804	700
805	50
805	59
805	306
805	567
805	672
806	797
809	197
809	557
809	643
810	33
