SOURCE	TARGET
28	6
49	13
55	54
62	42
72	22
72	71
74	36
76	62
77	36
83	76
86	66
94	90
101	7
104	61
117	34
120	25
136	5
140	92
144	129
148	41
150	66
156	140
158	24
159	13
164	152
166	56
170	116
174	14
174	139
175	38
176	56
177	61
180	132
180	167
181	9
184	116
185	11
190	147
193	79
195	174
196	112
197	43
197	156
197	184
199	44
203	108
205	102
206	109
213	46
214	157
218	113
218	164
219	169
220	108
223	164
226	168
230	225
231	127
236	154
239	104
243	219
244	102
246	65
247	64
248	194
249	89
249	247
250	1
252	83
254	18
254	48
256	135
256	224
258	117
258	177
262	137
265	226
269	95
273	118
275	54
277	45
277	212
279	180
283	156
286	122
287	166
288	85
290	57
291	55
294	27
295	220
296	162
302	277
303	96
305	89
308	73
308	221
308	238
310	114
311	72
311	206
314	168
316	84
316	298
317	97
317	221
318	262
321	223
322	229
323	45
325	125
326	122
326	128
327	99
327	235
329	21
329	112
329	206
330	128
331	70
339	202
339	222
340	292
341	327
343	306
344	288
346	275
348	253
349	85
349	219
350	17
350	177
352	12
353	57
353	190
355	236
356	151
360	214
360	292
364	53
364	291
364	313
366	159
368	156
370	220
371	103
371	249
375	216
376	164
376	309
379	306
381	41
382	337
383	36
385	235
385	333
390	31
391	212
392	229
393	123
398	279
399	111
399	195
399	396
400	232
400	354
401	81
404	10
405	209
406	14
409	372
410	271
413	217
414	303
415	281
415	409
416	287
419	167
419	365
420	156
420	209
423	400
424	329
425	19
425	105
425	362
427	164
427	386
429	66
429	148
429	286
429	364
430	165
430	422
431	430
432	379
433	80
434	208
435	428
440	333
441	39
442	283
444	178
444	287
445	373
446	344
448	164
449	165
450	73
450	172
450	293
451	49
451	301
451	409
453	151
456	333
456	344
456	420
457	65
459	286
463	437
465	241
465	357
466	287
466	323
468	215
468	320
469	186
471	253
472	141
473	281
474	243
476	290
478	295
480	248
480	294
481	475
482	10
484	465
485	161
486	475
487	75
487	141
488	445
489	55
490	481
491	399
492	185
493	419
496	439
497	153
499	462
500	496
501	151
501	220
501	227
501	286
503	259
504	123
506	300
506	417
508	183
511	6
511	369
512	368
512	378
513	88
514	203
514	211
516	3
517	366
517	487
518	362
523	1
523	166
527	135
527	347
527	448
528	89
528	368
530	291
531	17
531	22
531	99
532	347
533	138
536	87
538	49
538	426
539	31
539	473
541	454
541	477
542	115
542	156
543	165
544	444
544	539
545	60
546	405
549	333
550	502
551	221
551	251
551	364
552	188
553	181
554	436
557	204
558	106
559	183
559	361
560	116
560	352
560	434
563	85
563	204
564	555
567	16
567	30
567	367
567	476
568	328
568	492
569	499
571	303
571	413
571	505
573	508
574	63
574	332
574	500
575	228
576	27
576	99
576	283
577	200
577	495
579	154
579	404
580	369
581	75
581	104
585	308
586	122
586	322
587	190
588	299
589	1
589	104
589	107
591	233
591	448
591	585
592	170
595	292
596	104
597	379
598	581
599	3
599	25
599	140
599	237
600	150
602	43
603	255
603	304
605	191
605	455
605	509
606	49
607	530
608	133
608	333
608	500
609	490
611	438
613	129
613	365
614	510
615	37
616	9
616	195
617	212
617	218
618	331
621	407
621	603
623	30
623	328
623	405
626	461
626	521
627	283
630	133
630	627
631	92
632	559
633	254
636	27
636	277
636	278
637	397
638	32
639	60
639	456
639	591
640	224
642	531
643	416
645	85
645	123
645	437
646	236
646	527
648	17
648	586
649	26
652	256
652	622
655	125
656	103
658	149
659	358
661	295
661	351
662	415
663	203
664	498
664	630
665	568
666	213
666	415
667	399
668	471
668	611
670	250
671	541
672	247
674	271
674	386
674	553
675	246
676	487
677	587
678	518
678	616
680	382
680	385
682	152
684	549
687	545
688	433
688	442
690	666
691	156
692	60
694	272
695	536
697	665
698	257
699	261
700	42
702	273
702	328
703	698
704	423
704	438
704	536
705	234
706	606
708	190
709	164
710	25
710	432
710	445
714	103
714	708
717	698
719	133
720	509
720	655
720	682
721	123
721	269
722	354
722	697
724	161
724	698
725	152
725	397
725	403
727	158
728	133
728	666
730	226
730	490
730	641
730	686
731	328
732	310
733	641
733	701
734	631
735	217
